Pre/Suf	Original	Fists																							
Prefix	Adds 1 to (2-3) Cold damage to Attacks	Attacks Gain 10% of Damage as Extra Cold Damage																							
Prefix	Adds (3-4) to (5-8) Cold damage to Attacks	Attacks Gain 11% of Damage as Extra Cold Damage																							
Prefix	Adds (5-6) to (9-11) Cold damage to Attacks	Attacks Gain 12% of Damage as Extra Cold Damage																							
Prefix	Adds (7-8) to (12-14) Cold damage to Attacks	Attacks Gain 13% of Damage as Extra Cold Damage																							
Prefix	Adds (9-10) to (15-17) Cold damage to Attacks	Attacks Gain 14% of Damage as Extra Cold Damage																							
Prefix	Adds (11-13) to (18-21) Cold damage to Attacks	Attacks Gain (15-16)% of Damage as Extra Cold Damage																							
Prefix	Adds (14-15) to (22-24) Cold damage to Attacks	Attacks Gain (17-18)% of Damage as Extra Cold Damage																							
Prefix	Adds (16-20) to (25-31) Cold damage to Attacks	Attacks Gain (19-20)% of Damage as Extra Cold Damage																							
Prefix	Adds (21-24) to (32-37) Cold damage to Attacks	Attacks Gain (21-23)% of Damage as Extra Cold Damage																							
Prefix	Adds (1-2) to 3 Fire damage to Attacks	Attacks Gain 10% of Damage as Extra Fire Damage																							
Prefix	Adds (3-5) to (6-9) Fire damage to Attacks	Attacks Gain 11% of Damage as Extra Fire Damage																							
Prefix	Adds (6-8) to (10-13) Fire damage to Attacks	Attacks Gain 12% of Damage as Extra Fire Damage																							
Prefix	Adds (9-11) to (14-17) Fire damage to Attacks	Attacks Gain 13% of Damage as Extra Fire Damage																							
Prefix	Adds (12-13) to (18-20) Fire damage to Attacks	Attacks Gain 14% of Damage as Extra Fire Damage																							
Prefix	Adds (11-16) to (21-26) Fire damage to Attacks	Attacks Gain (15-16)% of Damage as Extra Fire Damage																							
Prefix	Adds (13-19) to (27-32) Fire damage to Attacks	Attacks Gain (17-18)% of Damage as Extra Fire Damage																							
Prefix	Adds (20-24) to (33-36) Fire damage to Attacks	Attacks Gain (19-20)% of Damage as Extra Fire Damage																							
Prefix	Adds (25-29) to (37-45) Fire damage to Attacks	Attacks Gain (21-23)% of Damage as Extra Fire Damage																							
Prefix	Adds 1 to (4-6) Lightning damage to Attacks	Attacks Gain 10% of Damage as Extra Lightning Damage																							
Prefix	Adds 1 to (10-15) Lightning damage to Attacks	Attacks Gain 11% of Damage as Extra Lightning Damage																							
Prefix	Adds 1 to (16-22) Lightning damage to Attacks	Attacks Gain 12% of Damage as Extra Lightning Damage																							
Prefix	Adds 1 to (23-27) Lightning damage to Attacks	Attacks Gain 13% of Damage as Extra Lightning Damage																							
Prefix	Adds 1 to (28-32) Lightning damage to Attacks	Attacks Gain 14% of Damage as Extra Lightning Damage																							
Prefix	Adds (1-2) to (33-40) Lightning damage to Attacks	Attacks Gain (15-16)% of Damage as Extra Lightning Damage																							
Prefix	Adds (1-2) to (41-47) Lightning damage to Attacks	Attacks Gain (17-18)% of Damage as Extra Lightning Damage																							
Prefix	Adds (1-3) to (48-59) Lightning damage to Attacks	Attacks Gain (19-20)% of Damage as Extra Lightning Damage																							
Prefix	Adds (1-4) to (60-71) Lightning damage to Attacks	Attacks Gain (21-23)% of Damage as Extra Lightning Damage																							
Prefix	Adds (1-2) to 3 Physical Damage to Attacks	Attacks Gain 10% of Damage as Extra Physical Damage																							
Prefix	Adds (2-3) to (4-6) Physical Damage to Attacks	Attacks Gain 11% of Damage as Extra Physical Damage																							
Prefix	Adds (2-4) to (5-8) Physical Damage to Attacks	Attacks Gain 12% of Damage as Extra Physical Damage																							
Prefix	Adds (4-6) to (8-11) Physical Damage to Attacks	Attacks Gain 13% of Damage as Extra Physical Damage																							
Prefix	Adds (5-7) to (9-13) Physical Damage to Attacks	Attacks Gain 14% of Damage as Extra Physical Damage																							
Prefix	Adds (6-10) to (12-17) Physical Damage to Attacks	Attacks Gain (15-16)% of Damage as Extra Physical Damage																							
Prefix	Adds (7-11) to (14-20) Physical Damage to Attacks	Attacks Gain (17-18)% of Damage as Extra Physical Damage																							
Prefix	Adds (10-15) to (18-26) Physical Damage to Attacks	Attacks Gain (19-20)% of Damage as Extra Physical Damage																							
